MEMS 1	MEMS 2	MEMS 3	MEMS 4bis	MEMS 4	MEMS 5	MEMS 6	MEMS 7	MEMS 8	MEMS 15bis	MEMS 9	MEMS 10bis	MEMS 11bis	MEMS 17bis	MEMS 18bis	MEMS 19bis
-4.231	4.359	-5.706	4.429	-5.481	-9.693	3.589	2.588	-8.519	11.634	3.766	15.834	48.891	-6.110	2.684	-3.555
-4.227	3.360	-3.715	2.428	-4.481	-10.693	-0.406	0.577	-8.522	12.635	6.762	15.842	47.882	-5.115	3.689	-3.563
-4.223	3.361	-2.725	0.427	-2.481	-12.692	-0.401	-2.434	-9.525	12.637	9.759	14.851	43.872	-4.120	3.695	-3.570
-5.219	2.362	-0.734	-3.575	-1.482	-15.692	-2.396	-3.444	-9.527	11.639	11.755	14.860	39.863	-3.126	3.700	-2.577
-6.215	1.362	1.256	-4.576	-1.482	-15.691	-5.391	-5.455	-8.530	10.640	14.751	13.868	34.853	-2.131	2.705	-3.585
-8.211	1.363	4.246	-4.577	-1.483	-16.691	-10.386	-6.466	-7.533	8.642	16.748	13.877	28.844	-0.136	1.710	-3.592
-10.207	1.364	6.237	-4.579	-1.483	-16.691	-10.380	-8.476	-5.536	5.644	16.744	12.886	15.834	1.859	-0.285	-4.599
-12.203	0.364	6.227	-4.580	-3.484	-17.690	-12.375	-9.487	-3.539	1.645	16.741	9.894	15.825	5.854	-1.280	-6.607
-14.199	0.365	8.218	-3.581	-3.484	-17.690	-14.370	-8.498	-0.542	-4.353	16.737	9.903	8.815	5.849	-3.275	-8.614
-16.195	0.366	11.208	-3.583	-6.485	-17.689	-16.365	-8.509	4.456	-4.351	13.733	8.912	-2.194	9.844	-5.270	-8.622
-18.191	-0.633	13.199	-1.584	-7.485	-15.689	-17.360	-8.519	6.453	-7.350	10.730	8.920	-6.204	9.839	-6.265	-10.629
-18.187	-0.632	14.189	0.415	-9.486	-14.688	-17.355	-5.530	8.450	-10.348	7.726	7.929	-11.213	14.834	-6.259	-14.636
-18.183	-1.632	15.180	1.413	-10.486	-12.688	-17.350	-4.541	8.447	-10.347	3.723	6.938	-14.223	15.829	-6.254	-16.644
-15.179	-1.631	16.170	2.412	-10.487	-11.687	-16.345	-2.551	11.444	-8.345	-0.281	7.946	-17.232	17.824	-6.249	-19.651
-13.175	-2.630	16.160	3.411	-10.487	-9.687	-16.340	-0.562	12.441	-6.343	-4.285	7.955	-20.242	18.819	-5.244	-21.658
-10.171	-4.630	16.151	4.409	-10.488	-7.687	-15.335	1.427	12.439	-2.342	-8.288	7.964	-23.251	18.814	-4.239	-23.666
-7.167	-5.629	15.141	5.408	-7.488	-6.686	-15.330	2.416	12.436	1.660	-12.292	8.972	-25.260	18.809	-4.234	-24.673
-4.163	-6.628	13.132	5.407	-7.489	-5.686	-14.325	4.406	11.433	5.662	-15.295	8.981	-28.270	17.804	-3.229	-24.681
-0.159	-6.627	11.122	6.405	-5.489	-4.685	-14.320	7.395	9.430	8.663	-18.299	8.990	-29.279	15.799	-2.224	-25.688
2.845	-8.627	9.113	5.404	-3.490	-4.685	-14.315	7.384	7.427	11.665	-21.303	8.998	-30.289	15.794	-2.219	-24.695
5.849	-9.626	3.103	5.403	1.510	-4.684	-14.310	8.374	2.424	11.667	-22.306	9.007	-31.298	13.789	-1.214	-23.703
7.853	-10.625	0.093	4.401	3.509	-4.684	-14.305	8.363	2.422	9.668	-23.310	9.016	-31.308	11.784	-1.209	-21.710
9.857	-11.624	-1.916	3.400	5.509	-4.683	-14.300	8.352	-0.581	-1.330	-24.314	6.025	-31.317	7.779	-1.203	-16.717
10.861	-12.624	-1.926	2.399	7.508	-4.683	-14.295	8.341	-3.584	-1.328	-23.317	5.033	-30.327	6.773	-1.198	-13.725
10.865	-13.623	-3.935	2.397	8.508	-4.683	-13.289	8.331	-6.587	-21.327	-20.321	4.042	-25.336	5.769	-1.193	-11.732
8.869	-13.622	-3.945	0.396	9.507	-4.682	-11.284	8.320	-7.590	-21.325	-20.324	2.051	-23.346	5.763	-0.188	-11.740
6.873	-13.621	-2.954	-0.605	9.507	-5.682	-9.279	7.309	-7.593	-46.324	-15.328	1.059	-19.355	3.758	0.817	-6.747
6.877	-13.621	-1.964	-2.607	9.506	-5.681	-7.274	7.298	-7.595	-56.322	-15.332	0.068	-16.365	4.753	2.822	-5.754
3.881	-13.620	1.027	-3.608	8.506	-4.681	-3.269	6.288	-5.598	-64.320	-9.335	-0.923	-13.374	4.748	3.827	-4.762
-2.115	-13.619	4.017	-4.609	7.506	-4.680	-0.264	6.277	-2.601	-71.319	-6.339	-0.915	-10.384	5.743	5.832	-4.769
-5.111	-11.619	7.008	-5.611	6.505	-4.680	3.741	7.266	-0.604	-73.317	-3.342	-0.906	-8.393	7.738	7.837	-4.776
-9.107	-10.618	12.998	-6.612	5.505	-4.679	7.746	7.256	3.393	-71.315	-1.346	-0.897	-6.403	8.733	9.842	-5.784
-12.103	-9.617	12.988	-7.613	4.504	-3.679	10.751	8.245	6.391	-65.314	0.650	0.111	-4.412	9.728	11.847	-7.791
-15.099	-7.616	15.979	-8.615	3.504	-3.678	13.756	9.234	9.388	-43.312	1.647	2.120	-3.422	11.723	13.853	-9.798
-18.095	-6.616	17.969	-9.616	3.503	-4.678	15.761	11.223	12.385	-43.311	2.643	3.129	-1.431	12.718	14.858	-11.806
-20.091	-3.615	18.960	-9.617	2.503	-4.678	16.766	12.213	15.382	-28.309	3.640	5.137	1.559	12.713	15.863	-13.813
-21.087	-2.614	18.950	-10.619	2.502	-4.677	16.771	13.202	16.379	-13.307	3.636	7.146	1.550	12.708	15.868	-15.821
-23.083	-0.614	17.941	-11.620	2.502	-4.677	13.776	14.191	16.376	17.694	3.632	9.155	3.540	11.703	16.873	-18.828
-23.079	1.387	15.931	-11.621	2.501	-4.676	13.781	14.180	15.374	30.696	3.629	11.163	5.530	10.698	16.878	-18.835
-24.075	3.388	9.922	-12.622	2.501	-4.676	7.786	13.170	12.371	39.698	2.625	13.172	7.521	8.693	15.883	-18.843
-23.071	4.389	5.912	-12.624	2.500	-4.675	3.791	13.159	9.368	39.699	1.622	14.181	12.512	6.688	14.888	-18.850
-22.067	6.389	1.902	-12.625	1.500	-2.675	-1.204	10.148	7.365	49.701	1.618	16.189	12.502	1.683	14.893	-15.857
-20.063	7.390	1.893	-12.626	0.499	-1.674	-5.199	8.137	7.362	49.702	0.615	17.198	14.492	-0.322	13.898	-13.865
-20.059	8.391	-6.117	-12.628	-0.501	-0.674	-9.194	6.127	2.360	45.704	0.611	17.207	18.483	-2.327	12.903	-10.872
-16.055	10.392	-9.126	-11.629	-2.502	0.327	-11.189	3.116	0.357	45.706	-0.393	17.215	19.473	-2.332	11.908	-6.880
-14.051	11.392	-11.136	-11.630	-4.502	2.327	-13.184	1.105	-0.646	33.707	-0.396	18.224	20.464	-5.337	10.914	-3.887
-14.047	13.393	-13.145	-11.632	-6.503	3.328	-15.179	0.095	-1.649	23.709	-0.400	17.233	21.454	-6.342	8.919	0.106
-10.043	13.394	-14.155	-10.633	-8.503	4.328	-14.174	-1.916	-1.652	15.711	-1.404	17.241	22.445	-6.347	7.924	4.098
-8.039	14.394	-15.164	-10.634	-9.504	4.328	-13.168	-1.927	-0.654	6.712	-1.407	16.250	22.435	-6.352	5.929	7.091
-6.035	16.395	-15.174	-9.636	-11.504	4.329	-11.163	-1.938	0.343	-2.286	-1.411	15.259	22.426	-5.357	4.934	10.084
-4.031	17.396	-12.183	-9.637	-13.505	4.329	-5.158	-0.948	1.340	-7.285	-0.414	15.267	22.416	-4.362	2.939	12.076
-2.027	17.396	-12.193	-8.638	-13.505	2.330	-2.153	0.041	3.337	-12.283	-0.418	14.276	22.407	-3.367	0.944	14.069
-1.023	17.397	-11.203	-6.640	-13.506	-1.670	-2.148	5.030	4.334	-17.281	-0.421	11.285	22.397	-1.372	-0.051	14.062
-0.019	17.398	-10.212	-4.641	-13.506	-3.669	1.857	5.019	5.332	-18.280	0.575	11.293	22.388	-1.377	-2.046	13.054
-0.015	16.399	-7.222	-4.642	-12.507	-6.669	6.862	11.009	6.329	-19.278	1.571	8.302	19.378	1.618	-3.041	13.047
0.989	14.399	-5.231	-3.644	-11.507	-6.668	6.867	10.998	6.326	-18.277	2.568	8.311	18.369	1.613	-2.036	12.039
0.993	13.400	-5.241	0.355	-9.508	-11.668	9.872	15.987	5.323	-12.275	2.564	6.319	18.359	1.608	-1.031	6.032
0.997	10.401	-5.250	2.354	-8.508	-12.667	9.877	16.976	5.320	-9.273	2.561	5.328	16.350	1.603	-1.026	2.025
